Day Number,L0,L1,L2,L3,L4,L5,L6
1465,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1470,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1475,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1480,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1485,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1490,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1495,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1500,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1505,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1510,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1515,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1520,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1525,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1530,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1535,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1540,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1545,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1550,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1555,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1560,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1565,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1570,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1575,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1580,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1585,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1590,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1595,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1600,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1605,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1610,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1615,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1620,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1625,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1630,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1635,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1640,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1645,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1650,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1655,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1660,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1665,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
1670,"[0, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0.9824997501052157, 0.0]"
